address_name,x,y,region_1depth_name,region_2depth_name,region_3depth_name,region_3depth_h_name,b_code,h_code,main_address_no,sub_address_no,road_region_1depth_name,road_region_2depth_name,road_region_3depth_name,mountain_yn
서울 성동구 성수동2가 333-133,127.05334767117,37.5402252730434,서울,성동구,성수동2가,성수2가1동,1120011500,1120067000,333,133,서울,성동구,성수동2가,N
서울 용산구 한강로3가 40-999,126.964300393659,37.5297680649234,서울,용산구,한강로3가,한강로동,1117012800,1117062500,40,999,서울,용산구,한강로3가,N
제주특별자치도 제주시 노형동 919,126.480339037482,33.4851737947871,제주특별자치도,제주시,노형동,노형동,5011012200,5011066000,919,,제주특별자치도,제주시,노형동,N
서울 강서구 가양동 449-19,126.862273854922,37.5579541508867,서울,강서구,가양동,가양3동,1150010400,1150060500,449,19,서울,강서구,가양동,N
